NO,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
0,27-2011,Actors,detailed,43470.0,6.1,32.89,*,3.8,8.97,11.01,17.49,33.59,89.08,*,*,*,*,*,,,2018
1,27-2031,Dancers,detailed,9930.0,7.3,17.7,*,3.2,8.74,9.66,14.25,22.41,30.95,*,*,*,*,*,,,2018
2,27-2040,"Musicians, Singers, and Related Workers",broad,55570.0,2.4,34.11,*,2.0,9.71,15.99,25.95,43.58,64.7,*,*,*,*,*,,,2018
3,27-2042,Musicians and Singers,detailed,40170.0,3.1,35.86,*,2.4,9.7,15.74,26.96,47.9,69.81,*,*,*,*,*,,,2018
4,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,11440.0,17.7,23.15,*,3.0,9.39,11.37,17.09,26.97,42.83,*,*,*,*,*,,,2018
5,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,11440.0,17.7,23.15,*,3.0,9.39,11.37,17.09,26.97,42.83,*,*,*,*,*,,,2018
6,29-1061,Anesthesiologists,detailed,30590.0,5.3,127.88,265990.0,1.6,59.42,#,#,#,#,123580.0,#,#,#,#,,,2018
7,29-1067,Surgeons,detailed,38600.0,3.3,121.1,251890.0,1.3,42.48,93.8,#,#,#,88360.0,195110.0,#,#,#,TRUE,,2018
8,29-1022,Oral and Maxillofacial Surgeons,detailed,4800.0,9.8,116.7,242740.0,3.7,32.73,84.47,#,#,#,68070.0,175690.0,#,#,#,TRUE,,2018
9,29-1064,Obstetricians and Gynecologists,detailed,18880.0,4.0,113.1,235240.0,1.4,44.81,80.32,#,#,#,93200.0,167050.0,#,#,#,,,2018
10,29-1023,Orthodontists,detailed,5080.0,8.5,110.28,229380.0,3.7,37.68,70.89,#,#,#,78370.0,147450.0,#,#,#,,,2018
11,29-1066,Psychiatrists,detailed,25250.0,3.3,103.89,216090.0,1.6,34.41,68.97,#,#,#,71560.0,143450.0,#,#,#,,,2018
12,29-1060,Physicians and Surgeons,broad,666490.0,1.2,103.22,214700.0,0.6,30.24,65.39,#,#,#,62900.0,136020.0,#,#,#,,,2018
13,29-1069,"Physicians and Surgeons, All Other",detailed,355460.0,1.6,101.63,211390.0,0.8,29.04,60.24,#,#,#,60390.0,125310.0,#,#,#,,,2018
14,29-1062,Family and General Practitioners,detailed,126440.0,2.0,100.27,208560.0,1.0,35.21,66.39,95.55,#,#,73240.0,138100.0,198740.0,#,#,,,2018
15,29-1029,"Dentists, All Other Specialists",detailed,4590.0,10.4,96.15,199980.0,4.1,41.26,67.33,91.75,#,#,85810.0,140050.0,190840.0,#,#,,,2018
16,29-1063,"Internists, General",detailed,42280.0,3.5,95.37,198370.0,2.5,28.25,52.54,92.75,#,#,58770.0,109280.0,192930.0,#,#,,,2018
17,29-1024,Prosthodontists,detailed,430.0,29.5,94.69,196960.0,13.3,46.26,57.14,89.02,#,#,96220.0,118850.0,185150.0,#,#,,,2018
18,11-1010,Chief Executives,broad,210160.0,0.7,94.25,196050.0,0.4,32.74,54.55,88.11,#,#,68110.0,113470.0,183270.0,#,#,,,2018
19,11-1011,Chief Executives,detailed,210160.0,0.7,94.25,196050.0,0.4,32.74,54.55,88.11,#,#,68110.0,113470.0,183270.0,#,#,,,2018
20,29-1065,"Pediatricians, General",detailed,28990.0,5.1,90.16,187540.0,1.4,39.74,63.37,83.0,#,#,82670.0,131810.0,172650.0,#,#,,,2018
21,29-1020,Dentists,broad,125300.0,1.6,86.54,180010.0,1.1,33.65,51.21,76.02,#,#,70000.0,106520.0,158120.0,#,#,,,2018
22,29-1021,"Dentists, General",detailed,110400.0,1.9,83.71,174110.0,1.2,33.28,50.38,72.81,#,#,69210.0,104800.0,151440.0,#,#,,,2018
23,29-1150,Nurse Anesthetists,broad,42620.0,3.5,81.47,169450.0,0.9,53.13,67.67,79.38,93.75,#,110520.0,140750.0,165120.0,194990.0,#,,,2018
